"No.","Time","Source","Destination","Protocol","Length","Info"
"15592","86.609395","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=2751624 Ack=42170 Win=233728 Len=1240 [TCP PDU reassembled in 15672]"
"15745","86.640302","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=2858264 Ack=42170 Win=233728 Len=1240"
"15925","86.683161","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=2989704 Ack=42170 Win=233728 Len=1240 [TCP PDU reassembled in 15957]"
"16072","86.711071","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=3097584 Ack=42170 Win=233728 Len=1240"
"16284","91.412944","172.217.4.202","192.168.2.103","TCP","158","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=3109732 Ack=44103 Win=232192 Len=0 SLE=45343 SRE=46036"
"16406","94.051904","157.240.26.35","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1368 [FIN, ACK] Seq=27500 Ack=601 Win=67840 Len=0"
"16858","96.205810","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=3348418 Ack=48543 Win=228352 Len=1240"
"17520","96.343620","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=3826220 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 17564]"
"17948","96.440225","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=4123820 Ack=48543 Win=228352 Len=1240"
"17983","96.447728","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=4148620 Ack=48543 Win=228352 Len=1240"
"18212","96.489617","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=4318500 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18277]"
"18220","96.491652","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=4323460 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18277]"
"18244","96.497039","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=4335860 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18277]"
"18593","96.561495","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=4585100 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18672]"
"18601","96.563574","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=4588820 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18672]"
"18605","96.563589","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=4593780 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18672]"
"18664","96.581626","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=4622300 Ack=48543 Win=228352 Len=1240 [TCP PDU reassembled in 18672]"
"18701","96.591026","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=4658260 Ack=48543 Win=228352 Len=1240"
"19332","106.581693","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4780879 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19410]"
"19335","106.581706","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4784599 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19410]"
"19380","106.589383","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4811879 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19410]"
"19444","106.601631","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4852799 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19528]"
"19477","106.607906","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4878839 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19528]"
"19487","106.610160","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4882559 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19528]"
"19719","106.663696","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5026175 Ack=8524 Win=262656 Len=1240"
"19727","106.665695","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=5031135 Ack=8524 Win=262656 Len=1240"
"19770","106.676209","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5063375 Ack=8524 Win=262656 Len=1240"
"19881","106.699134","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5145215 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 19912]"
"19962","106.722060","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=5179935 Ack=8524 Win=262656 Len=1240"
"19979","106.726173","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5193575 Ack=8524 Win=262656 Len=1240"
"20001","106.729987","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5205975 Ack=8524 Win=262656 Len=1240"
"20099","106.755633","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5273951 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20129]"
"20118","106.759687","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5280151 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20129]"
"20150","106.765716","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5298751 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20211]"
"20197","106.773231","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=5328511 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20211]"
"20271","106.789049","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5379351 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20350]"
"20289","106.793384","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5386791 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20350]"
"20320","106.803197","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=5402911 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20350]"
"20324","106.803212","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=5407871 Ack=8524 Win=262656 Len=1240 [TCP PDU reassembled in 20350]"
