"No.","Time","Source","Destination","Protocol","Length","Info"
"16304","57.930100","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2686876 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16308]"
"16305","57.930104","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2688116 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16308]"
"16306","57.930108","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2689356 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16308]"
"16307","57.930112","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2690596 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16308]"
"16308","57.930116","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2691836 Ack=22838 Win=249600 Len=1240"
"16328","57.934062","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [ACK] Seq=2712916 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16376]"
"16462","57.961983","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2794756 Ack=22838 Win=249600 Len=1240"
"16463","57.961987","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2799716 Ack=22838 Win=249600 Len=1240"
"16464","57.961990","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2800956 Ack=22838 Win=249600 Len=1240"
"16465","57.961994","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2802196 Ack=22838 Win=249600 Len=1240"
"16466","57.961998","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2803436 Ack=22838 Win=249600 Len=1240"
"16487","57.967644","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2822036 Ack=22838 Win=249600 Len=1240"
"16488","57.967647","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2823276 Ack=22838 Win=249600 Len=1240"
"16489","57.967649","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2824516 Ack=22838 Win=249600 Len=1240"
"16507","57.971804","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=2831956 Ack=22838 Win=249600 Len=1240"
"16508","57.971807","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2833196 Ack=22838 Win=249600 Len=1240"
"16544","57.978029","192.168.2.103","142.250.190.42","TCP","146","[TCP Dup ACK 16533#1] 2057  >  443 [ACK] Seq=22838 Ack=2844356 Win=133888 Len=0"
"16579","57.986189","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=2867916 Ack=22838 Win=249600 Len=1240"
"16695","58.010172","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [ACK] Seq=2960916 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16696","58.010176","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [PSH, ACK] Seq=2962156 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16697","58.010180","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [ACK] Seq=2963396 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16698","58.010184","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [PSH, ACK] Seq=2964636 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16699","58.010188","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [ACK] Seq=2965876 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16700","58.010192","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [PSH, ACK] Seq=2967116 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16701","58.010195","142.250.190.42","192.168.2.103","TCP","1394","443  >  2057 [ACK] Seq=2968356 Ack=22838 Win=249600 Len=1240 [TCP PDU reassembled in 16766]"
"16837","58.035817","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=3048956 Ack=22838 Win=249600 Len=1240"
"16858","58.038468","192.168.2.103","142.250.190.42","TCP","146","[TCP Dup ACK 16855#1] 2057  >  443 [ACK] Seq=22838 Ack=3067556 Win=133888 Len=0"
"16903","58.046962","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=3094836 Ack=22838 Win=249600 Len=1240"
"16905","58.046967","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [ACK] Seq=3097316 Ack=22838 Win=249600 Len=1240"
