"No.","Time","Source","Destination","Protocol","Length","Info"
"3093","15.785358","34.36.199.114","192.168.2.103","TCP","373","[TCP Retransmission] 443  >  2045 [PSH, ACK] Seq=1 Ack=675 Win=269056 Len=219"
"3352","15.868173","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1873  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"4620","17.489037","192.168.2.103","157.240.26.35","TCP","274","[TCP Retransmission] 2051  >  443 [PSH, ACK] Seq=468 Ack=3226 Win=66560 Len=128"
"4654","17.543948","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2052 [ACK] Seq=6946 Ack=601 Win=67840 Len=1240 [TCP PDU reassembled in 4643]"
"4656","17.543954","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2052 [ACK] Seq=9426 Ack=601 Win=67840 Len=1240 [TCP PDU reassembled in 4645]"
"4657","17.543957","157.240.26.35","192.168.2.103","TCP","1002","[TCP Retransmission] 443  >  2052 [PSH, ACK] Seq=10666 Ack=601 Win=67840 Len=848"
"4658","17.543959","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2052 [ACK] Seq=11514 Ack=601 Win=67840 Len=1240"
"4729","17.560743","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2053 [PSH, ACK] Seq=13147 Ack=601 Win=67840 Len=1240"
"4730","17.560746","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2053 [ACK] Seq=14387 Ack=601 Win=67840 Len=1240"
"4731","17.560749","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2052 [ACK] Seq=15234 Ack=601 Win=67840 Len=1240 [TCP PDU reassembled in 4696]"
"4742","17.562293","157.240.26.35","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2052 [ACK] Seq=17714 Ack=601 Win=67840 Len=1240 [TCP PDU reassembled in 4734]"
"5510","22.284380","192.168.2.103","142.250.190.42","TCP","497","[TCP Retransmission] 2057  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66304 Len=343"
"5533","22.311550","192.168.2.103","142.250.190.42","TCP","160","[TCP Retransmission] 2057  >  443 [PSH, ACK] Seq=386 Ack=4404 Win=66304 Len=6"
"5534","22.311556","192.168.2.103","142.250.190.42","TCP","191","[TCP Retransmission] 2057  >  443 [PSH, ACK] Seq=392 Ack=4404 Win=66304 Len=37"
"5547","22.312947","192.168.2.103","142.250.190.42","TCP","160","[TCP Retransmission] 2057  >  443 [PSH, ACK] Seq=386 Ack=4404 Win=66304 Len=6"
"5548","22.312953","192.168.2.103","142.250.190.42","TCP","191","[TCP Retransmission] 2057  >  443 [PSH, ACK] Seq=392 Ack=4404 Win=66304 Len=37"
"5563","22.325461","192.168.2.103","142.250.190.42","TCP","1386","[TCP Retransmission] 2057  >  443 [ACK] Seq=429 Ack=4691 Win=66048 Len=1240"
"5577","22.334438","192.168.2.103","142.250.190.42","TCP","839","[TCP Retransmission] 2057  >  443 [PSH, ACK] Seq=1669 Ack=4691 Win=66048 Len=693 [TCP PDU reassembled in 5555]"
"7077","34.705036","192.168.2.103","142.250.190.42","TCP","1386","[TCP Retransmission] 2057  >  443 [ACK] Seq=8161 Ack=7215 Win=66304 Len=1240"
"7621","38.923661","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=79091 Ack=1003 Win=269056 Len=1240"
"7622","38.923663","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=80331 Ack=1003 Win=269056 Len=1240"
"7657","38.929587","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=95211 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 7750]"
"7658","38.929591","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=96451 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 7750]"
"7659","38.929595","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=97691 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 7750]"
"7676","38.933682","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=102651 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 7750]"
"7902","38.981887","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=240291 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 7923]"
"7903","38.981891","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=241531 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 7923]"
"7988","38.997901","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=298571 Ack=1003 Win=269056 Len=1240"
"8194","39.046611","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=421331 Ack=1003 Win=269056 Len=1240"
"8195","39.046614","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=422571 Ack=1003 Win=269056 Len=1240"
"8265","39.062304","142.250.190.42","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=467211 Ack=1003 Win=269056 Len=1240"
"8578","39.129852","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=648251 Ack=1003 Win=269056 Len=1240"
"8579","39.129856","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=649491 Ack=1003 Win=269056 Len=1240"
"8580","39.129860","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=650731 Ack=1003 Win=269056 Len=1240"
"8582","39.129868","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=653211 Ack=1003 Win=269056 Len=1240"
"8638","39.144653","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=701571 Ack=1003 Win=269056 Len=1240"
"8709","39.171611","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=736291 Ack=1003 Win=269056 Len=1240"
"8710","39.171613","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=737531 Ack=1003 Win=269056 Len=1240"
"9146","39.273520","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=974371 Ack=1003 Win=269056 Len=1240"
"9147","39.273525","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=975611 Ack=1003 Win=269056 Len=1240"
"9148","39.273528","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=976851 Ack=1003 Win=269056 Len=1240"
"9255","39.293448","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=1022731 Ack=1003 Win=269056 Len=1240"
"9257","39.293456","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=1025211 Ack=1003 Win=269056 Len=1240"
"9387","39.318213","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=1098371 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 9456]"
"9429","39.331426","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=1119451 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 9456]"
"9619","39.377712","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=1206251 Ack=1003 Win=269056 Len=1240"
"9620","39.377716","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [ACK] Seq=1207491 Ack=1003 Win=269056 Len=1240"
"9621","39.377720","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=1208731 Ack=1003 Win=269056 Len=1240"
"9807","39.421828","142.250.190.42","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2065 [PSH, ACK] Seq=1300491 Ack=1003 Win=269056 Len=1240"
